ア、,2,2,9000,フィラー,*,*,*,*,*,ア、,ア,ア
アー、,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
アー…,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
イ、,2,2,9000,フィラー,*,*,*,*,*,イ、,イ,イ
ウ、,2,2,9000,フィラー,*,*,*,*,*,ウ、,ウ,ウ
ウェー,2,2,16000,フィラー,*,*,*,*,*,ウェー、,ウェー,ウェー
エー、,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エー…,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エート、,2,2,9000,フィラー,*,*,*,*,*,エート、,エート,エート
エート,2,2,15000,フィラー,*,*,*,*,*,エート、,エート,エート
オ、,2,2,9000,フィラー,*,*,*,*,*,オ、,オ,オ
グ、,2,2,9000,フィラー,*,*,*,*,*,グ、,グ,グ
ス、,2,2,9000,フィラー,*,*,*,*,*,ス、,ス,ス
ニ、,2,2,9000,フィラー,*,*,*,*,*,ニ、,ニ,ニ
ハ、,2,2,9000,フィラー,*,*,*,*,*,ハ、,ハ,ハ
バ、,2,2,9000,フィラー,*,*,*,*,*,バ、,バ,バ
ヨ、,2,2,9000,フィラー,*,*,*,*,*,ヨ、,ヨ,ヨ
アバ、,2,2,9000,フィラー,*,*,*,*,*,アバ、,アバ,アバ
ギョロリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギョロリ,ギョロリ,ギョロリ,
ギラリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギラリ,ギラリ,ギラリ,
ギロリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギロリ,ギロリ,ギロリ,
グイ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,グイ,グイ,グイ,
クイッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,クイッ,クイッ,クイッ,
グニャリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,グニャリ,グニャリ,グニャリ,
クルリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,クルリ,クルリ,クルリ,
グワッシ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,グワッシ,グワッシ,グワッシ,
コロッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,コロッ,コロッ,コロッ,
シバラク,1282,1282,5000,副詞,助詞類接続,*,*,*,*,シバラク,シバラク,シバラク,
ジワリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ジワリ,ジワリ,ジワリ,
ズキリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ズキリ,ズキリ,ズキリ,
ズシッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ズシッ,ズシッ,ズシッ,
ズシリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ズシリ,ズシリ,ズシリ,
スルリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,スルリ,スルリ,スルリ,
タイヘン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,タイヘン,タイヘン,タイヘン,
ダラリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ダラリ,ダラリ,ダラリ,
チョコマカ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,チョコマカ,チョコマカ,チョコマカ,
ドップリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ドップリ,ドップリ,ドップリ,
ドロリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ドロリ,ドロリ,ドロリ,
ニコリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ニコリ,ニコリ,ニコリ,
ヌルリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヌルリ,ヌルリ,ヌルリ,
パカリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,パカリ,パカリ,パカリ,
バッカリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,バッカリ,バッカリ,バッカリ,
バックリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,バックリ,バックリ,バックリ,
ハラリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ハラリ,ハラリ,ハラリ,
ビクッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ビクッ,ビクッ,ビクッ,
ビクリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ビクリ,ビクリ,ビクリ,
ヒヤリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヒヤリ,ヒヤリ,ヒヤリ,
ヒョイ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヒョイ,ヒョイ,ヒョイ,
ヒョロリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヒョロリ,ヒョロリ,ヒョロリ,
ピョン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ピョン,ピョン,ピョン,
ヒラリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヒラリ,ヒラリ,ヒラリ,
ピリリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ピリリ,ピリリ,ピリリ,
ボッキリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ボッキリ,ボッキリ,ボッキリ,
ボロリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ボロリ,ボロリ,ボロリ,
ボンヤリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ボンヤリ,ボンヤリ,ボンヤリ,
ウギョウギョ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ウギョウギョ,ウギョウギョ,ウギョウギョ,畳語
ウズウズ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ウズウズ,ウズウズ,ウズウズ,畳語
オメオメ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,オメオメ,オメオメ,オメオメ,畳語
クイクイ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,クイクイ,クイクイ,クイクイ,畳語
ズカズカ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ズカズカ,ズカズカ,ズカズカ,畳語
スタスタ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,スタスタ,スタスタ,スタスタ,畳語
チコチコ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,チコチコ,チコチコ,チコチコ,畳語
チマチマ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,チマチマ,チマチマ,チマチマ,畳語
チリチリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,チリチリ,チリチリ,チリチリ,畳語
チロチロ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,チロチロ,チロチロ,チロチロ,畳語
ツカツカ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ツカツカ,ツカツカ,ツカツカ,畳語
トボトボ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,トボトボ,トボトボ,トボトボ,畳語
ニタニタ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ニタニタ,ニタニタ,ニタニタ,畳語
ヌメヌメ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヌメヌメ,ヌメヌメ,ヌメヌメ,畳語
ノシノシ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ノシノシ,ノシノシ,ノシノシ,畳語
ノタノタ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ノタノタ,ノタノタ,ノタノタ,畳語
ノロノロ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ノロノロ,ノロノロ,ノロノロ,畳語
ピクピク,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ピクピク,ピクピク,ピクピク,畳語
ヒョイヒョイ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ヒョイヒョイ,ヒョイヒョイ,ヒョイヒョイ,畳語
ヒョコヒョコ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ヒョコヒョコ,ヒョコヒョコ,ヒョコヒョコ,畳語
ヒョロヒョロ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ヒョロヒョロ,ヒョロヒョロ,ヒョロヒョロ,畳語
ヘコヘコ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヘコヘコ,ヘコヘコ,ヘコヘコ,畳語
ムシャムシャ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ムシャムシャ,ムシャムシャ,ムシャムシャ,畳語
メソメソ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,メソメソ,メソメソ,メソメソ,畳語
モクモク,1282,1282,5000,副詞,助詞類接続,*,*,*,*,モクモク,モクモク,モクモク,畳語
モコモコ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,モコモコ,モコモコ,モコモコ,畳語
モサモサ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,モサモサ,モサモサ,モサモサ,畳語
モソモソ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,モソモソ,モソモソ,モソモソ,畳語
ヨタヨタ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヨタヨタ,ヨタヨタ,ヨタヨタ,畳語
ヨロヨロ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヨロヨロ,ヨロヨロ,ヨロヨロ,畳語
ギョロギョロ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ギョロギョロ,ギョロギョロ,ギョロギョロ,畳語
アッサリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,アッサリ,アッサリ,アッサリ,
ガッチリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガッチリ,ガッチリ,ガッチリ,
グショグショ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,グショグショ,グショグショ,グショグショ,畳語
シッカリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,シッカリ,シッカリ,シッカリ,
ズグズグ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ズグズグ,ズグズグ,ズグズグ,畳語
ドクドク,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ドクドク,ドクドク,ドクドク,畳語
ピクリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ピクリ,ピクリ,ピクリ,
ヒヤヒヤ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ヒヤヒヤ,ヒヤヒヤ,ヒヤヒヤ,畳語
フサフサ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,フサフサ,フサフサ,フサフサ,畳語
ブスリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ブスリ,ブスリ,ブスリ,
モジャモジャ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,モジャモジャ,モジャモジャ,モジャモジャ,畳語
クネクネ,1282,1282,6000,副詞,助詞類接続,*,*,*,*,クネクネ,クネクネ,クネクネ,畳語
ウネウネ,1282,1282,6000,副詞,助詞類接続,*,*,*,*,ウネウネ,ウネウネ,ウネウネ,畳語
サッパリ,1282,1282,6000,副詞,助詞類接続,*,*,*,*,サッパリ,サッパリ,サッパリ,
ビクン,1282,1282,6000,副詞,助詞類接続,*,*,*,*,ビクン,ビクン,ビクン,
デス,460,460,9000,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
ドス,460,460,9000,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
ドスエ,460,460,4000,助動詞,*,*,*,特殊・デス,基本形,です,ドスエ,ドスエ
デシ,466,466,9000,助動詞,*,*,*,特殊・デス,連用形,でし,デシ,デシ
タ,435,435,12000,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
だッ,453,453,6813,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
だーッ,453,453,6813,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
だッ,457,457,6455,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
ねぇ,473,473,8159,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ねえ,473,473,8159,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ねェ,473,473,8159,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ネェ,473,473,8159,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ねぇ,469,469,7120,助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネェ
ねえ,469,469,7120,助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネェ
ねェ,469,469,7120,助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネェ
ネェ,469,469,7120,助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネェ
ン,157,157,9972,助詞,格助詞,一般,*,*,*,ん,ン,ン
ネ,279,279,5665,助詞,終助詞,*,*,*,*,ネ,ネ,ネ
ネー,280,280,6161,助詞,終助詞,*,*,*,*,ネー,ネー,ネー
ネエ,279,279,6125,助詞,終助詞,*,*,*,*,ネエ,ネエ,ネエ
ネェ,279,279,5698,助詞,終助詞,*,*,*,*,ネェ,ネェ,ネェ
ヨォ,279,279,5698,助詞,終助詞,*,*,*,*,よォ,ヨォ,ヨォ
よォ,279,279,5698,助詞,終助詞,*,*,*,*,よォ,ヨォ,ヨォ
ンデ,322,322,6380,助詞,接続助詞,*,*,*,*,ンデ,ンデ,ンデ
にゃあ,326,326,6598,助詞,特殊,*,*,*,*,にゃ,ニャ,ニャ
なんざ,348,348,4411,助詞,副助詞,*,*,*,*,なんざ,ナンザ,ナンザ
やがって,307,307,5170,助詞,接続助詞,*,*,*,*,やがって,ヤガッテ,ヤガッテ
BANG,3,3,2000,感動詞,*,*,*,*,*,BANG,バン,バン
BLAM,3,3,2000,感動詞,*,*,*,*,*,BLAM,ブラム,ブラム
ＢＬＡＭ,3,3,2000,感動詞,*,*,*,*,*,BLAM,ブラム,ブラム
BLAMN,3,3,2000,感動詞,*,*,*,*,*,BLAMN,ブラム,ブラム
BOOM,3,3,3000,感動詞,*,*,*,*,*,BOOM,ブーン,ブーン
BOOOM,3,3,2000,感動詞,*,*,*,*,*,BOOOM,ブーン,ブーン
BRATATAT,3,3,6000,感動詞,*,*,*,*,*,BRATATAT,ブラタタタ,ブラタタタ
BRATATATA,3,3,5000,感動詞,*,*,*,*,*,BRATATAT,ブラタタタ,ブラタタタ
BRATATATAT,3,3,4000,感動詞,*,*,*,*,*,BRATATAT,ブラタタタ,ブラタタタ
BRATATATATA,3,3,3000,感動詞,*,*,*,*,*,BRATATAT,ブラタタタ,ブラタタタ
BRATATATATAT,3,3,2000,感動詞,*,*,*,*,*,BRATATAT,ブラタタタ,ブラタタタ
GGBBBBBBB,3,3,1000,感動詞,*,*,*,*,*,GGBBBBBBB,ググブブブブブブブ,ググブブブブブブブ
KRA-,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOOOOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KRA-TOOOOOOOOOOOM,3,3,5000,感動詞,*,*,*,*,*,KRA-TOOOM,クラトゥーム,クラトゥーム
KABOOM,3,3,5000,感動詞,*,*,*,*,*,KABOOM,ブーン,ブーン
KABOOOM,3,3,4000,感動詞,*,*,*,*,*,KABOOM,ブーン,ブーン
KABOOOOM,3,3,3000,感動詞,*,*,*,*,*,KABOOM,ブーン,ブーン
KBAM,3,3,2000,感動詞,*,*,*,*,*,KBAM,バン,バン
KRAAAAASH,3,3,3000,感動詞,*,*,*,*,*,KRAASH,クラッシュ,クラッシュ
KRAAAASH,3,3,4000,感動詞,*,*,*,*,*,KRAASH,クラッシュ,クラッシュ
KRAAASH,3,3,5000,感動詞,*,*,*,*,*,KRAASH,クラッシュ,クラッシュ
POW,3,3,6000,感動詞,*,*,*,*,*,POW,ポウ,ポウ
PING,3,3,2000,感動詞,*,*,*,*,*,PING,ピン,ピン
PONG,3,3,2000,感動詞,*,*,*,*,*,PONG,ポン,ポン
ZAP,3,3,3000,感動詞,*,*,*,*,*,ZAP,ザップ,ザップ
ィィィィィ,3,3,9000,感動詞,*,*,*,*,*,ィィィィィ,ィィィィィ,ィィィィィ
ヴィーヴヴィ,3,3,4000,感動詞,*,*,*,*,*,ヴィーヴヴィ,ヴィーヴヴィ,ヴィーヴヴィ
ウィーン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ウィーン,ウィーン,ウィーン
ウォールルルル,3,3,3000,感動詞,*,*,*,*,*,ウォールルルル,ウォールルルル,ウォールルルル
ウォールルルルルルル,3,3,100,感動詞,*,*,*,*,*,ウォールルルルルルル,ウォールルルルルルル,ウォールルルルルルル
ウォゴゴゴゴゴゴゴ,3,3,1000,感動詞,*,*,*,*,*,ウォゴゴゴゴゴゴゴ,ウォゴゴゴゴゴゴゴ,ウォゴゴゴゴゴゴゴ
ウォルルルルル,3,3,16000,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルル,ウォルルルルル
ウォルルルルルル,3,3,8000,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルルル,ウォルルルルルル
ウォルルルルルルル,3,3,4000,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルルルル,ウォルルルルルルル
ウォルルルルルルルル,3,3,2000,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルルルルル,ウォルルルルルルルル
ウォルルルルルルルルル,3,3,1000,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルルルルルル,ウォルルルルルルルルル
ウォルルルルルルルルルル,3,3,100,感動詞,*,*,*,*,*,ウォルルルルル,ウォルルルルルルルルル,ウォルルルルルルルルル
ウォルルン,3,3,3000,感動詞,*,*,*,*,*,ウォルルン,ウォルルン,ウォルルン
カィイイイイン,3,3,3000,感動詞,*,*,*,*,*,カィイイイイン,カィイイイイン,カィイイイイン
ガガガーガガガガガー,3,3,1000,感動詞,*,*,*,*,*,ガガガーガガガガガー,ガガガーガガガガガー,ガガガーガガガガガー
ガガガーン,3,3,4000,感動詞,*,*,*,*,*,ガガガーン,ガガガーン,ガガガーン
カカカカ,3,3,8000,感動詞,*,*,*,*,*,カカカカ,カカカカ,カカカカ
カカカカカ,3,3,4000,感動詞,*,*,*,*,*,カカカカ,カカカカカ,カカカカカ
カカカカカカ,3,3,2000,感動詞,*,*,*,*,*,カカカカ,カカカカカカ,カカカカカカ
カカカカカカカ,3,3,1000,感動詞,*,*,*,*,*,カカカカ,カカカカカカカ,カカカカカカカ
カカカカカカカカ,3,3,100,感動詞,*,*,*,*,*,カカカカ,カカカカカカカカ,カカカカカカカカ
カカカカッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カカカカッ,カカカカッ,カカカカッ
カカカピピピ,3,3,2000,感動詞,*,*,*,*,*,カカカピピピ,カカカピピピ,カカカピピピ
ガガピガガー,3,3,2000,感動詞,*,*,*,*,*,ガガピガガー,ガガピガガー,ガガピガガー
ガガピガガーピガガーガリガリガリガリ,3,3,100,感動詞,*,*,*,*,*,ガガピガガーピガガーガリガリガリガリ,ガガピガガーピガガーガリガリガリガリ,ガガピガガーピガガーガリガリガリガリ
ガキィン,3,3,5000,感動詞,*,*,*,*,*,ガキィン,ガキィン,ガキィン
ガギギギギ,3,3,4000,感動詞,*,*,*,*,*,ガギギギギ,ガギギギギ,ガギギギギ
ガギギギギギ,3,3,4000,感動詞,*,*,*,*,*,ガギギギギギ,ガギギギギギ,ガギギギギギ
ガキャガキャガキャ,3,3,1000,感動詞,*,*,*,*,*,ガキャガキャガキャ,ガキャガキャガキャ,ガキャガキャガキャ
ガキュキュキュキュキュ,3,3,100,感動詞,*,*,*,*,*,ガキュキュキュキュキュ,ガキュキュキュキュキュ,ガキュキュキュキュキュ
カコーン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カコーン,カコーン,カコーン
カゴーン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カゴーン,カゴーン,カゴーン
ガゴーン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガゴーン,ガゴーン,ガゴーン
ガゴゴゴン,3,3,4000,感動詞,*,*,*,*,*,ガゴゴゴン,ガゴゴゴン,ガゴゴゴン
ガゴッ,3,3,7000,感動詞,*,*,*,*,*,ガゴッ,ガゴッ,ガゴッ
ガゴン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガゴン,ガゴン,ガゴン
ガゴンプシュー,3,3,3000,感動詞,*,*,*,*,*,ガゴンプシュー,ガゴンプシュー,ガゴンプシュー
ガシガシ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガシガシ,ガシガシ,ガシガシ
ガシャーン,3,3,4000,感動詞,*,*,*,*,*,ガシャーン,ガシャーン,ガシャーン
ガシャアン,3,3,4000,感動詞,*,*,*,*,*,ガシャアン,ガシャアン,ガシャアン
ガシャガシャ,3,3,4000,感動詞,*,*,*,*,*,ガシャガシャ,ガシャガシャ,ガシャガシャ
カシャカシャカシャ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カシャカシャカシャ,カシャカシャカシャ,カシャカシャカシャ
カシャッ,3,3,6000,感動詞,*,*,*,*,*,カシャッ,カシャッ,カシャッ
ガシュコンガコン,3,3,1000,感動詞,*,*,*,*,*,ガシュコンガコン,ガシュコンガコン,ガシュコンガコン
ガシュン,3,3,6000,感動詞,*,*,*,*,*,ガシュン,ガシュン,ガシュン
ガション,3,3,6000,感動詞,*,*,*,*,*,ガション,ガション,ガション
ガシン,3,3,9000,感動詞,*,*,*,*,*,ガシン,ガシン,ガシン
カチカチカチ,3,3,4000,感動詞,*,*,*,*,*,カチカチカチ,カチカチカチ,カチカチカチ
カチカチカチカチ,3,3,1000,感動詞,*,*,*,*,*,カチカチカチカチ,カチカチカチカチ,カチカチカチカチ
カチャカチャ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カチャカチャ,カチャカチャ,カチャカチャ
ガチャリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガチャリ,ガチャリ,ガチャリ
カチリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,カチリ,カチリ,カチリ
ガチリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガチリ,ガチリ,ガチリ
ガツガツガツ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガツガツガツ,ガツガツガツ,ガツガツガツ
ガッキ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガッキ,ガッキ,ガッキ
ガッシ,3,3,7000,感動詞,*,*,*,*,*,ガッシ,ガッシ,ガッシ
ガッチャ,3,3,6000,感動詞,*,*,*,*,*,ガッチャ,ガッチャ,ガッチャ
カッポッ,3,3,6000,感動詞,*,*,*,*,*,カッポッ,カッポッ,カッポッ
ガパリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガパリ,ガパリ,ガパリ
カブーム,3,3,5000,感動詞,*,*,*,*,*,カブーム,カブーム,カブーム
ガリッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガリッ,ガリッ,ガリッ
キィィィ,3,3,6000,感動詞,*,*,*,*,*,キィィィ,キィィィ,キィィィ
キィィィィ,3,3,5000,感動詞,*,*,*,*,*,キィィィィ,キィィィィ,キィィィィ
キィィィィィ,3,3,2000,感動詞,*,*,*,*,*,キィィィィィ,キィィィィィ,キィィィィィ
キィィィィィィィ,3,3,1000,感動詞,*,*,*,*,*,キィィィィィィィ,キィィィィィィィ,キィィィィィィィ
キィィィィィィィィィィィィィィィィィィィィィィィィィィ,3,3,100,感動詞,*,*,*,*,*,キィィィィィィィィィィィィィィィィィィィィィィィィィィ,キィィィィィィィィィィィィィィィィィィィィィィィィィィ,キィィィィィィィィィィィィィィィィィィィィィィィィィィ
キィィイイイイイン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,キィィイイイイイン,キィィイイイイイン,キィィイイイイイン
キイイィィィン,1282,1282,5000,副詞,助詞類接続,*,*,*,*,キイイィィィン,キイイィィィン,キイイィィィン
キィィィン,3,3,5000,感動詞,*,*,*,*,*,キィィィン,キィィィン,キィィィン
キイキイ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,キイキイ,キイキイ,キイキイ
ギイギイ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギイギイ,ギイギイ,ギイギイ
ギーコ,3,3,7000,感動詞,*,*,*,*,*,ギーコ,ギーコ,ギーコ
キキーッ,3,3,5000,感動詞,*,*,*,*,*,キキーッ,キキーッ,キキーッ
キキキ,3,3,4000,感動詞,*,*,*,*,*,キキキ,キキキ,キキキ
ギギゴゴゴ,3,3,4000,感動詞,*,*,*,*,*,ギギゴゴゴ,ギギゴゴゴ,ギギゴゴゴ
ギギッ,3,3,7000,感動詞,*,*,*,*,*,ギギッ,ギギッ,ギギッ
キコキコ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,キコキコ,キコキコ,キコキコ
ギゴギゴ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギゴギゴ,ギゴギゴ,ギゴギゴ
